No;Class;FirstName;LastName;CarRegistration;DriverRegistration;Transponder1;Transponder2;Additional1;Additional2;Additional3;Additional4;Additional5;Additional6;Additional7;Additional8
156;Cadets ladies;Giorgia;Fusetto (ITA);;;0156;CS-48691;ITA;;;;National Team Italy;;;
149;Cadets ladies;Denice;Nieuwenhuis (NED);;;0149;NK-29425;NED;;;;Skeelerclub Oost Veluwe;;;
176;Cadets ladies;Elena;Lampitelli (ITA);;;0176;CZ-99366;ITA;;;;National Team Italy;;;
202;Cadets ladies;Anemarie;Schaefer (GER);;;0202;KV-36270;GER;;;;Thüringer Speedskatingclub Erfurt e.V.;;;
211;Cadets ladies;Ninon;Thuillier (FRA);;;0211;CN-12150;FRA;;;;ASTA NANTES;;;
159;Cadets ladies;Donna;Gemser (NED);;;0159;TG-30718;NED;;;;SKATE FORCE;;;
192;Cadets ladies;Amber;Puttevils (BEL);;;0192;TK-50545;BEL;;;;Rolschaatsclub Heverlee;;;
;Cadets ladies;;;;;;;;;;;;;;
;Cadets ladies;;;;;;;;;;;;;;
199;Cadets ladies;Susanna;Rocchetti (ITA);;;0199;CN-20361;ITA;;;;Bi Roller Pattinaggio Biella;;;
138;Cadets ladies;Zolvan;Barbar (HUN);;;0138;SN-62586;HUN;;;;Tornado Team;;;
144;Cadets ladies;Violette;Braun (FRA);;;0144;FW-58105;FRA;;;;BISCHHEIM STRASBOURG SKATING;;;
169;Cadets ladies;Giorgia;Iiannarelli (ITA);;;0169;HF-85505;ITA;;;;ASD Polisportiva Bellusco;;;
142;Cadets ladies;Rosalie;Boehm (GER);;;0142;VF-23505;GER;;;;Sc DHfK Leipzig;;;
166;Cadets ladies;Svenja;Hecht (GER);;;0166;GV-99550;GER;;;;VfL Ulm, Germany;;;
175;Cadets ladies;Senna;Lamme (NED);;;0175;PL-35875;NED;;;;AIJV;;;
148;Cadets ladies;Marieke;de Vries (NED);;;0148;CN-18876;NED;;;;SKATE FORCE;;;
163;Cadets ladies;Lea;Hadzizulfic (GER);;;0163;CN-20899;GER;;;;TSV Bernhausen;;;
150;Cadets ladies;Alice;Dolci (ITA);;;0150;GN-83935;ITA;;;;ASD Polisportiva Bellusco;;;
204;Cadets ladies;Jocelyne;Seys (BEL);;;0204;GN-20170;BEL;;;;Zwaantjes Rollerclub Zandvoorde;;;
193;Cadets ladies;Giada Mui;Ragone (ITA);;;0193;CV-69295;ITA;;;;ASD ANPINLINE Pattinaggio Cologno Monzese;;;
139;Cadets ladies;Rebecca;Barilani (ITA);;;0139;CS-57572;ITA;;;;ASD GRUPPO PATTINATORI MOBILI CANTU' CRA-BCC;;;
153;Cadets ladies;Aneta;Fialová (CZE);;;0153;FF-83802;CZE;;;;IN-LINE VESELÍ;;;
145;Cadets ladies;Lea;Corradini (ITA);;;0145;GP-44182;ITA;;;;Rotellistica Roseda, Merate, Italy;;;
152;Cadets ladies;Dora;Ferretto (ITA);;;0152;NR-49755;ITA;;;;Bi Roller Pattinaggio Biella;;;
185;Cadets ladies;Lieke;Moons (BEL);;;0185;NW-80630;BEL;;;;Reko Rollerclub Zemst;;;
220;Cadets ladies;Katerina;Zatloukalová (CZE);;;0220;FH-72511;CZE;;;;KSBM Praha;;;
203;Cadets ladies;Vanille;Schiff (FRA);;;0203;NN-57218;FRA;;;;COLMAR AURORE ROLLER SKATING;;;
162;Cadets ladies;Anna;Guyonvarch (FRA);;;0162;FR-63881;FRA;;;;LANDEVANT ROLLER SKATING;;;
174;Cadets ladies;Leonor;Ladeira (POR);;;0174;PC-56742;POR;;;;Club Sport Maritimo;;;
172;Cadets ladies;Gianna;Kaiser (GER);;;0172;NV-20248;GER;;;;Skate Club Allgäu;;;
173;Cadets ladies;Katja;Kaiser (GER);;;0173;LZ-56813;GER;;;;Arena Geisingen inlineSport e.V.;;;
