No;Class;FirstName;LastName;CarRegistration;DriverRegistration;Transponder1;Transponder2;Additional1;Additional2;Additional3;Additional4;Additional5;Additional6;Additional7;Additional8
179;Cadets ladies;Jade;Leroy (FRA);;;0179;NZ-76479;FRA;;;;CPR CHATEAU GONTIER;;;
170;Cadets ladies;Sara;Ismail (ITA);;;0170;GW-83320;ITA;;;;ASD GRUPPO PATTINATORI MOBILI CANTU' CRA-BCC;;;
171;Cadets ladies;Celia;Jimenez Sanchez (ESP);;;0171;NW-24583;ESP;;;;Club El Patin de Oro Madrid;;;
188;Cadets ladies;Greta;Pasquinotti (ITA);;;0188;NW-39487;ITA;;;;LunA Sports Academy a.s.d.;;;
210;Cadets ladies;Sophie;Thoma (GER);;;0210;LN-00314;GER;;;;RSV Blau-Weiß Gera e.V.;;;
181;Cadets ladies;Latisha;Luna Sasmito (INA);;;0181;PG-25837;INA;;;;DKI JAKARTA INLINE SPEED SKATING;;;
184;Cadets ladies;Ivanna;Montero (COL);;;0184;NW-22446;COL;;;;Patin K-ribe Club. PKC;;;
146;Cadets ladies;Beatriz;Costa (POR);;;0146;CL-39516;POR;;;;Roller Lagos C.P.;;;
214;Cadets ladies;Hylkje;van der Woerd (NED);;;0214;NL-08330;NED;;;;Skeelerclub Oost Veluwe;;;
177;Cadets ladies;Rondel;Lea (FRA);;;0177;PN-09804;FRA;;;;CSR TEAM SPORT AND GLISS;;;
189;Cadets ladies;Katrin;Pencikova (CZE);;;0189;NF-39811;CZE;;;;IN-LINE AKADEMIE;;;
197;Cadets ladies;Clara;Richter (GER);;;0197;LH-37066;GER;;;;Gettorfer TV;;;
190;Cadets ladies;Vittoria;Pizzini (ITA);;;0190;NZ-88116;ITA;;;;ASD GS Sala al Barro;;;
198;Cadets ladies;Veronika;Rihova (CZE);;;0198;NG-53936;CZE;;;;KSBM Praha;;;
140;Cadets ladies;Laura;Berger (GER);;;0140;FC-91544;GER;;;;Hallescher ISC;;;
154;Cadets ladies;Erell;Foussadier (FRA);;;0154;RN-96889;FRA;;;;CPAL LOCMINÉ;;;
182;Cadets ladies;Caley;Marlein (BEL);;;0182;NW-18805;BEL;;;;Zwaantjes Rollerclub Zandvoorde;;;
165;Cadets ladies;Maxima;Hauptmann (GER);;;0165;FV-34653;GER;;;;TOSHIBA Speedskating / SC DHfK Leipzig e.V.;;;
161;Cadets ladies;KItti;Gurszki (HUN);;;0161;LS-86627;HUN;;;;KDE Szeged;;;
201;Cadets ladies;Matilde;Rosa (POR);;;0201;HC-49372;POR;;;;CDR SANTANENSE - Madeira;;;
218;Cadets ladies;Leonie Sylvia;Weber (GER);;;0218;CV-11595;GER;;;;Gettorfer TV;;;
196;Cadets ladies;Sina;Reyer (GER);;;0196;KP-82600;GER;;;;Thüringer Speedskatingclub Erfurt e.V.;;;
